470572.8458	228555.7864	845.922094
470577.6555	228555.9285	845.922857
470577.9336	228555.9367	845.922956
470585.725	228556.373	845.923039
470586.2986	228556.4052	845.923045
470593.7999	228556.8257	845.923125
470594.6637	228556.8742	845.923134
470601.8751	228557.2789	845.92321
470603.0287	228557.3437	845.923223
470609.9507	228557.7325	845.923296
470611.3936	228557.8136	845.923311
470618.0287	228558.1898	845.923366
470619.7581	228558.2878	845.923399
470626.1103	228558.6525	845.923465
470628.122	228558.768	845.923486
470634.1926	228559.1162	845.923556
470636.486	228559.2479	845.923583
470642.2751	228559.5803	845.92365
470644.8499	228559.7282	845.92368
470650.358	228560.0448	845.923744
470653.2137	228560.209	845.923777
470658.4427	228560.5122	845.923809
470661.5771	228560.694	845.923873
470666.5309	228560.9847	845.923929
470669.94	228561.1849	845.923969
470674.6208	228561.4598	845.924022
470678.3028	228561.6762	845.924062
470682.7108	228561.935	845.924114
470686.6656	228562.1673	845.924161
470690.8009	228562.4103	845.924209
470695.0284	228562.6589	845.924259
470698.8924	228562.8879	845.924283
470703.3907	228563.1545	845.924357
470706.9872	228563.3702	845.924399
470711.7525	228563.6562	845.924455
470715.0844	228563.8562	845.924494
470720.1142	228564.1582	845.924553
470723.1818	228564.3425	845.924588
470728.4759	228564.6608	845.92465
470731.2796	228564.8293	845.924683
470736.8376	228565.1636	845.924748
470739.3996	228565.3495	845.924359
470745.1889	228565.7695	845.924842
470747.6017	228565.9922	845.924867
470753.524	228566.5386	845.924929
470755.885	228566.7565	845.924953
470761.859	228567.3076	845.925016
470764.1684	228567.5206	845.925039
470770.1941	228568.0765	845.925102
470772.4516	228568.2847	845.925125
470778.5292	228568.8452	845.925187
470780.755	228569.0789	845.924837
470786.8537	228569.7193	845.925266
470789.1489	228570.0083	845.925285
470795.1611	228570.7653	845.925333
470797.6357	228571.0768	845.925353
470803.4686	228571.8108	845.925401
470806.1222	228572.1446	845.925422
470811.7761	228572.8557	845.925468
470814.6082	228573.2118	845.925491
470820.0836	228573.9001	845.925535
470823.0957	228574.2811	845.925527
470828.3905	228574.9507	845.925602
470831.5896	228575.3601	845.925621
470836.6962	228576.0134	845.925651
470840.089	228576.4473	845.925671
470845.002	228577.0755	845.9257
470848.588	228577.5338	845.925721
470853.3079	228578.1369	845.925749
470857.0865	228578.6196	845.925772
470861.6138	228579.1978	845.925799
470865.5875	228579.7092	845.925769
470869.9189	228580.2664	845.925831
470874.0967	228580.811	845.92583
470878.2227	228581.3486	845.925828
470882.6106	228581.9198	845.925826
470886.5266	228582.4294	845.925823
470891.1235	228583.0273	845.925818
470894.8306	228583.5092	845.925815
470899.6356	228584.1335	845.925815
470903.1347	228584.5878	845.925816
470908.1502	228585.2432	845.925761
470911.4382	228585.6726	845.925813
470916.6719	228586.3638	845.925804
470919.7406	228586.7688	845.925801
470925.1964	228587.4884	845.925798
470928.0431	228587.8636	845.925799
470933.7197	228588.6114	845.925803
470936.3457	228588.9571	845.925806
470942.2419	228589.7327	845.925818
470944.6485	228590.049	845.925825
470950.8669	228591.0075	845.924693
470952.9328	228591.3257	845.925869
470959.7454	228592.6614	845.925948
470961.1831	228592.9433	845.925968
470968.6911	228594.4157	845.926086
470969.4334	228594.5613	845.9261
470977.6372	228596.1705	845.926264
470977.6836	228596.1796	845.926265
470978.233	228596.2874	845.926277
470985.9324	228597.8114	845.926287
470986.6001	228597.9504	845.926197
470994.1728	228599.5286	845.926291
470995.6534	228599.8656	845.92629
471002.3977	228601.3995	845.926285
471004.82	228601.95	845.926282
471010.6229	228603.2682	845.926277
471013.9844	228604.0313	845.926274
471018.8483	228605.1348	845.92627
471023.1468	228606.1094	845.926266
471027.0739	228606.9993	845.926262
471032.3093	228608.1877	845.926218
471035.2993	228608.866	845.926261
471041.4771	228610.274	845.926261
471043.524	228610.7402	845.926261
471050.6457	228612.3614	845.92626
471051.7488	228612.6123	845.92626
471059.8121	228614.4456	845.926259
471059.9739	228614.4823	845.926259
471061.3893	228614.8039	845.926258
471068.1991	228616.3502	845.926257
471068.9768	228616.5272	845.92625
471076.4241	228618.2209	845.926254
471078.1451	228618.6142	845.926251
471084.6483	228620.0997	845.926242
471087.3189	228620.7094	845.926238
471092.8727	228621.9766	845.926229
471096.4906	228622.8015	845.926223
471101.0973	228623.8512	845.926216
471105.6601	228624.8903	845.926208
471109.3221	228625.7237	845.926202
471114.8348	228626.9868	845.92607
471117.5457	228627.6077	845.926189
471124.0313	228629.1159	845.926176
471125.7666	228629.5196	845.926173
471133.2353	228631.2564	845.926165
471133.9875	228631.4313	845.926164
471140.2761	228632.8939	845.92616
471142.2084	228633.3434	845.926159
471142.4396	228633.3971	845.926159
471150.4292	228635.2559	845.926153
471151.6877	228635.6035	845.92542
471158.6151	228637.5178	845.926124
471161.4413	228638.5653	845.926096
471166.7263	228640.5274	845.926044
471171.7852	228642.4095	845.925994
471174.8366	228643.5466	845.925964
471182.144	228646.276	845.925886
471182.9458	228646.576	845.925878
471185.8217	228647.6529	845.925845
471191.054	228649.6154	845.925786
471192.5221	228650.1713	845.925711
471199.1591	228652.6858	845.925693
471202.952	228654.1441	845.925647
471207.2602	228655.7969	845.925596
471213.4015	228658.1462	845.925524
471215.3626	228658.8947	845.925501
471222.1913	228661.4951	845.925421
471223.4661	228661.9813	845.925382
471223.8329	228662.1211	845.925371
471231.5697	228665.0668	845.925101
471234.2598	228666.0895	845.924989
471239.6741	228668.1452	845.924758
471244.6771	228670.0434	845.924646
471247.7789	228671.2187	845.92471
471255.0843	228673.9822	845.92491
